5,17,45812,5667
17,15,22937,1718
23,6,11151,1116
5,3,51445,5971
7,6,19707,2351
8,17,1571,6956
25,11,54643,4629
21,11,492,145
8,18,583,3979
25,15,599,4516
8,6,404,225
20,4,278,2132
16,6,274,1908
13,8,31764,4899
25,9,36622,2003
5,15,6548,649
23,2,22221,3267
7,7,19529,1625
25,18,21701,2393
7,18,35490,2663
31,17,94135,5705
16,7,2958,14586
23,11,29748,3333
20,2,918,9572
2,15,2049,18164
9,18,25616,1729
20,5,786,4216
6,16,1123,6203
17,7,66063,4278
5,13,69309,5579
4,18,148,1580
18,4,310,1822
8,14,2928,14345
19,11,41098,3249
27,17,17774,1749
5,16,17294,2454
11,18,5754,535
14,11,876,7819
9,12,63418,4929
29,12,20604,1449
20,1,1603,8922
37,15,383,13
7,9,10079,578
9,1,21669,2354
12,16,2857,25397
30,7,1797,15348
7,11,27828,2459
14,9,1401,11528
15,2,8989,496
7,14,46653,7457
26,12,956,9278
29,9,42081,6466
10,16,807,7634
6,14,850,7867
27,13,65686,4750
8,15,305,1336
25,16,23216,3230
5,4,40586,3994
22,12,1247,6666
40,14,3296,40149
11,14,12069,1186
11,9,16037,2009
4,17,557,2544
11,5,0,34
19,12,20832,2640
19,10,61268,5535
3,5,4362,339
8,1,1949,16293
17,14,33,0
3,1,298,68
10,8,442,3385
13,14,18575,2426
29,10,5603,287
13,1,14852,1523
13,13,13713,1187
12,15,198,4134
5,1,717,108
6,12,4595,32220
26,11,1354,7180
1,11,11297,931
18,2,1542,15890
18,1,2426,16747
13,10,49186,4781
5,11,113179,12715
26,10,166,122
5,18,37735,3442
16,14,1664,14529
19,16,39186,3419
16,3,683,4082
25,8,4076,358
1,17,15669,1424
28,13,0,42
27,16,15193,819
18,15,2142,13135
17,10,50302,4669
13,9,6725,950
17,16,5242,626
11,3,176230,13293
6,13,1347,13974
45,6,268,58
5,14,19476,1235
11,17,2169,315
16,17,75,6
13,7,12005,1316
11,12,6821,815
40,15,351,76
19,9,49934,6935
25,17,19397,1768
13,4,6730,676
1,10,58563,4797
19,8,1071,147
14,10,642,5209
12,4,528,2460
15,1,3834,348
5,9,66736,5404
41,13,23,0
8,8,1886,9314
18,14,136,49
45,4,14271,1548
9,7,142,28
2,17,10,176
17,9,4548,617
40,3,7,10
6,18,477,3221
20,10,4,39
10,10,9,6
20,3,14,67
15,17,2973,380
9,15,5091,677
6,17,1038,8253
2,9,1780,9040
15,9,12824,1755
35,15,688,19
8,11,2710,24071
13,6,23394,4080
25,10,72426,4232
26,14,1085,7387
13,15,3195,317
21,4,9465,1550
3,14,48,26
3,7,19619,1957
11,8,5051,544
15,13,168,14
8,9,47,4
45,5,3,0
25,7,102,25
6,5,2795,19594
21,6,8174,708
12,13,276,1
22,2,115,11
23,12,26,1
12,12,128,686
3,11,4,10
12,17,188,1810
7,15,193,42
27,8,31,29
3,4,2,3
2,2,22,36
22,5,98,130
15,16,60,145
12,2,290,8
11,6,1411,125
1,9,784,101
45,3,21,0
35,1,973,98
18,16,70,515
14,14,70,1
1,7,863,243
3,3,365,112
6,3,9,29
11,1,158,10
7,8,92,15
3,10,10,20
6,6,5,7
19,7,86,14
27,11,5,0
5,12,231,17
3,16,31,2
9,3,3039,266
12,6,77,3
9,8,3,6
18,17,44,90
23,9,57,7
45,2,58,3
9,13,53,8
7,2,51,42
29,17,118,24
3,18,81,26
41,9,157,28
16,4,188,12
14,7,255,19
15,10,8,25
22,10,35,83
16,2,607,55
15,15,11,14
6,9,40,0
24,7,14,91
9,14,10,6
2,14,6,426
8,16,77,12
1,6,115,5
14,1,76,5
39,14,173,1
3,12,138,0
4,6,14,1
42,5,428,92
20,12,95,42
20,7,76,8
25,1,554,355
6,15,90,5
40,5,35,0
35,13,31,0
39,11,36,0
9,6,63,7
33,3,24,7
2,13,96,3
6,10,249,13
5,10,11,18
13,12,2,6
18,10,0,3
19,15,53,55
17,8,15,30
32,14,12,6
3,9,13,12
24,11,113,4
12,14,81,20
22,17,1,1
10,14,0,22
14,3,12,8
18,7,7,7
9,17,84,53
7,13,12,29
4,8,19,64
1,1,6,69
6,11,40,1
33,10,10,15
12,3,2,4
7,12,50,59
8,5,4,0
1,4,10,10
1,14,4,2
20,14,62,12
29,11,5,10
18,8,8,3
2,18,16,2
14,4,17,5
