sample,total reads,after filtering barcode,after trimming,uniquely aligned reads,After remove duplicates
A01, 9856293, 8488794, 8142706, 5553907,327984
A02, 7814958, 6553892, 6255589, 4548923,356014
A03, 9693184, 8324569, 7981432, 6116787,545691
A04, 10472346, 9176741, 8908146, 6644645,536570
A05, 23698017, 20296511, 19398170, 15690384,1266138
A06, 949491, 811467, 775771, 569327,66878
A07, 4791649, 4115057, 3883902, 2966651,323411
A08, 527846, 447941, 403287, 298931,56691
A09, 2513366, 2147296, 2041301, 1477689,150635
A10, 2555634, 2178339, 2090953, 1526029,153652
A11, 7675566, 6479809, 6211210, 4308641,321803
A12, 12572465, 9062131, 8164561, 4708637,300415
B01, 5892784, 5047454, 4770096, 3322014,309130
B02, 1532607, 1281721, 1185073, 852216,128720
B03, 2517991, 2132335, 1878482, 1371862,299109
B04, 3326951, 2833862, 2592221, 1951513,318834
B05, 1751512, 1441339, 1285298, 943423,211131
B06, 3652003, 3142704, 2979593, 2150633,280609
B07, 3172161, 2580917, 2429668, 1742502,238868
B08, 935393, 783458, 686185, 509605,156003
B09, 3441368, 2957157, 2696518, 2047969,311112
B10, 4754690, 4074885, 3712269, 2721387,446482
B11, 107642, 84843, 75297, 51538,17294
B12, 1590053, 1300854, 1199871, 771216,94615
C01, 2001621, 1621804, 1463683, 1046398,230432
C02, 952848, 571732, 450841, 266470,145636
C03, 2712052, 2182909, 2054117, 1384516,205357
C04, 640704, 483602, 395789, 282645,127695
C05, 2367038, 1942104, 1754478, 1287068,274210
C06, 1110178, 927019, 853607, 632596,140886
C07, 1213020, 990756, 904421, 672170,134930
C08, 919492, 660398, 549845, 390569,148336
C09, 1616635, 1284928, 1154729, 854167,212350
C10, 1610200, 1296571, 1141898, 833944,244164
C11, 1412899, 1146428, 984564, 717292,181618
C12, 699896, 539455, 476034, 329405,85886
D01, 1929245, 1564751, 1459251, 1095722,201713
D02, 721840, 520170, 391583, 258083,179503
D03, 900056, 651672, 485112, 315315,217390
D04, 1791930, 1472163, 1295376, 931565,225589
D05, 4867373, 4035730, 3704598, 2769472,458940
D06, 3084990, 2490710, 2242735, 1640780,342289
D07, 1177832, 918830, 747020, 521749,206637
D08, 1865138, 1466386, 1318354, 930822,225690
D09, 1554349, 1068382, 913054, 613514,190090
D10, 4360446, 3750591, 3530778, 2546124,321454
D11, 1447098, 1092002, 910851, 659360,227739
D12, 2997929, 2391624, 2253800, 1686978,209927
E01, 2678818, 2257998, 2075390, 1560194,271030
E02, 2188089, 1761249, 1632102, 1235801,184207
E03, 2281298, 1877797, 1715934, 1231758,225355
E04, 4059052, 3436874, 3227218, 2346255,350384
E05, 1179932, 869235, 764235, 556289,128020
E06, 2056114, 1705524, 1596241, 1190811,144675
E07, 1427842, 1173969, 1023703, 754456,162789
E08, 1754073, 1433518, 1310119, 950351,180103
E09, 4103409, 3245149, 3034275, 2227457,300065
E10, 1965406, 1667904, 1478753, 1129172,223926
E11, 1258074, 956232, 843427, 589233,125342
E12, 5505182, 1487048, 1377571, 864121,124884
F01, 1285965, 1000504, 750799, 515720,254307
F02, 1173509, 953185, 829414, 599357,155197
F03, 1450859, 1180075, 997469, 710886,203612
F04, 2710770, 2161113, 1957408, 1425177,252489
F05, 1550715, 1219719, 933911, 637362,347974
F06, 958624, 783011, 681517, 482712,144461
F07, 2304351, 1879810, 1735556, 1245435,222762
F08, 1373729, 1107404, 932212, 664751,220968
F09, 3358622, 2704066, 2448718, 1738048,307810
F10, 2558417, 2130787, 1944331, 1419437,274352
F11, 2014234, 1684305, 1516418, 1113245,224836
F12, 525231, 397427, 280133, 178534,167520
G01, 873103, 671463, 550948, 388075,166122
G02, 2149149, 1782202, 1604251, 1177861,254201
G03, 1108578, 854809, 746119, 532013,148813
G04, 765473, 566495, 461797, 299617,130346
G05, 1885314, 1437768, 1285185, 909927,193375
G06, 860944, 673871, 582728, 405237,112334
G07, 1197515, 936060, 810597, 561829,156829
G08, 995509, 824768, 708598, 495961,144082
G09, 1155874, 921422, 762657, 522735,191111
G10, 1088448, 830116, 685783, 489531,165984
G11, 1324784, 1088829, 987995, 730674,154813
G12, 925427, 136874, 130272, 82393,79225
H01, 5963305, 4875954, 4412420, 2938626,333730
H02, 3516825, 2851548, 2542823, 1756979,312796
H03, 1217911, 877918, 689438, 465998,180058
H04, 85327, 69727, 62896, 42119,21435
H05, 3104954, 2452713, 2136298, 1545140,342932
H06, 2108811, 1660930, 1445506, 1021310,284694
H07, 2427083, 1940805, 1705562, 1215522,328683
H08, 4462219, 3593740, 3384578, 2483309,331549
H09, 3880866, 3098570, 2863865, 2113724,308646
H10, 2755154, 2145462, 1938311, 1520856,249221
H11, 10451078, 8519488, 8008280, 5919357,581862
H12, 1201462, 954354, 756237, 500551,230490
