8,9,H12, 1, 1
8,22,H12, 1, 0
11,33,G05, 17, 0
3,3,H12, 0, 1
5,12,G03, 26, 3
18,4,H12, 3, 0
10,25,A01, 17, 1
11,7,G10, 0, 15
11,10,H12, 0, 2
2,40,A01, 73, 4
11,29,H12, 0, 34
18,4,H11, 28, 1
7,23,E03, 0, 19
16,27,C03, 1, 56
13,26,H10, 0, 20
2,31,H12, 0, 10
9,6,H12, 0, 3
18,6,G06, 0, 39
5,19,H09, 2, 1
4,40,A01, 22, 4
10,38,A01, 2, 121
1,6,D08, 1, 12
16,13,E01, 1, 27
6,20,C04, 1, 20
5,17,A01, 0, 82
13,29,A01, 33, 7
7,15,A01, 2, 25
3,14,H12, 0, 8
6,16,H12, 0, 5
12,12,G06, 0, 26
1,10,H12, 2, 0
2,43,F06, 2, 2
7,20,A01, 2, 14
18,16,F04, 0, 28
3,6,A01, 22, 0
18,26,A01, 26, 4
16,2,H12, 0, 4
14,12,A02, 2, 49
9,31,A02, 82, 4
2,24,G03, 9, 0
13,23,A02, 3, 133
17,35,A07, 3, 124
1,13,A02, 1, 100
14,4,A02, 16, 5
4,27,A02, 0, 207
2,25,F06, 7, 0
4,6,H12, 4, 0
10,38,H12, 0, 6
5,16,B08, 1, 61
14,27,A02, 1, 53
18,10,G08, 0, 29
8,4,H10, 5, 0
9,22,A03, 1, 142
4,43,H10, 1, 5
4,11,G01, 1, 26
11,7,H11, 1, 2
5,41,H06, 6, 0
3,19,A03, 1, 123
10,12,A03, 5, 52
14,7,H10, 0, 7
6,21,A05, 5, 64
1,4,H07, 4, 1
2,26,A05, 5, 101
18,31,A05, 3, 57
2,1,A05, 3, 17
2,40,A05, 4, 5
14,26,G01, 1, 29
1,1,H03, 0, 13
7,21,A05, 0, 85
11,16,A05, 49, 5
4,7,F08, 0, 83
4,16,G12, 1, 4
4,23,A05, 11, 108
11,5,A05, 69, 8
1,15,A05, 4, 135
2,20,E06, 0, 72
11,27,D03, 1, 33
9,8,A06, 117, 14
11,25,A06, 2, 70
12,7,B07, 3, 2
4,8,B12, 1, 32
14,7,H08, 0, 21
7,7,H12, 0, 9
10,15,G06, 63, 1
18,30,H01, 2, 108
9,27,A07, 78, 12
1,42,A07, 72, 14
18,18,A07, 2, 125
6,3,H10, 3, 1
