sample,total reads,after filtering barcode,after trimming,uniquely aligned reads,After remove duplicates
A01, 3266442, 2680530, 2448693, 1580751,127198
A02, 684924, 514135, 455001, 293969,43643
A03, 4071333, 3454635, 3293973, 2448271,230293
A04, 3584178, 3132218, 2983154, 2129624,194356
A05, 5374943, 4424057, 3940855, 2732252,321616
A06, 3292165, 2827535, 2700935, 1879804,162366
A07, 4573383, 3956574, 3747910, 2687063,282773
A08, 295302, 220409, 135194, 83264,79309
A09, 1012700, 823780, 747246, 529984,98786
A10, 2013168, 1678520, 1588412, 1112476,108359
A11, 3352936, 2763829, 2632274, 1851169,151562
A12, 399525, 306213, 273282, 155412,21567
B01, 1771536, 1492850, 1380479, 993497,135051
B02, 2192344, 1864740, 1779288, 1289071,164680
B03, 11432520, 9859627, 9458052, 7257017,701101
B04, 2384955, 1960429, 1800612, 1306780,206665
B05, 1759398, 1439125, 1318240, 922467,149211
B06, 2286015, 1852492, 1701887, 1209805,189639
B07, 4486999, 3735568, 3503636, 2594904,283722
B08, 1839321, 1475366, 1343112, 989340,182452
B09, 3561879, 2954927, 2785115, 2052072,227592
B10, 4454285, 3581818, 3300986, 2322487,292666
B11, 326165, 272810, 251693, 182091,45981
B12, 106050, 22638, 21242, 14809,14520
C01, 1072848, 879523, 763558, 544630,129590
C02, 5873389, 4966887, 4723318, 3557026,371140
C03, 3975788, 3360891, 3203378, 2416838,284919
C04, 1452595, 1253600, 1159950, 862050,147373
C05, 3298783, 2748074, 2555545, 1831284,250099
C06, 940493, 771552, 706124, 498988,102942
C07, 4564667, 3831794, 3620664, 2706702,316390
C08, 1364994, 1107442, 1008776, 720993,135372
C09, 1252791, 982990, 875175, 627750,167999
C10, 1329458, 1066566, 975587, 710695,173233
C11, 4936863, 4209248, 3988057, 2892502,338425
C12, 637640, 494511, 421499, 284989,77767
D01, 1138614, 939724, 868991, 628122,128653
D02, 3220947, 2704089, 2516954, 1747389,237631
D03, 3315543, 2809279, 2622816, 1956836,259079
D04, 2078550, 1715108, 1548286, 1123706,200173
D05, 1378986, 1131710, 1007349, 716164,142193
D06, 9664556, 8212861, 7863689, 5469864,559153
D07, 2286925, 1896454, 1623980, 1188283,278585
D08, 2476007, 2040104, 1843254, 1318281,221613
D09, 1758716, 1428376, 1308325, 936182,200093
D10, 1553431, 1255431, 1135868, 826795,229970
D11, 1992504, 1646751, 1512530, 1102164,191224
D12, 4210318, 916403, 807320, 382599,109137
E01, 2200878, 1816761, 1646902, 1201393,213732
E02, 2747169, 2266666, 2124160, 1487354,196232
E03, 1661099, 1323501, 1193212, 873880,176499
E04, 1030773, 811084, 704506, 489879,118336
E05, 1950734, 1600405, 1461196, 1051513,170586
E06, 1198831, 970770, 877228, 620171,100027
E07, 4348425, 3580044, 3241469, 2396445,341167
E08, 778085, 612235, 514664, 351131,129902
E09, 3583555, 2953398, 2749182, 1963819,264423
E10, 2476447, 2059551, 1867554, 1366585,227258
E11, 313739, 227192, 173906, 117223,71516
E12, 926276, 763314, 643446, 455897,160860
F01, 2412729, 1985637, 1735998, 1221805,301270
F02, 2752725, 2277146, 2088777, 1502547,228291
F03, 6485735, 5290931, 4959777, 3525150,402446
F04, 2706758, 2249776, 2090142, 1556665,235303
F05, 9128722, 7678370, 7083063, 5255580,609918
F06, 2225558, 1832957, 1667704, 1209911,191708
F07, 2199247, 1743081, 1583232, 1127161,170613
F08, 3410707, 2748408, 2428726, 1721517,307387
F09, 7688952, 6218662, 5797884, 4228470,500434
F10, 4697189, 3869775, 3616646, 2731541,333297
F11, 1303259, 923020, 778936, 511521,150004
F12, 1645954, 1397600, 1264549, 937119,184732
G01, 14947936, 12462246, 12156247, 9420930,779113
G02, 4917795, 4194131, 4022752, 2973859,396640
G03, 4533928, 3754550, 3554150, 2523856,333405
G04, 969431, 762739, 652381, 461581,156056
G05, 2679798, 2259610, 2099754, 1546529,254101
G06, 3217097, 2699020, 2502024, 1834760,251811
G07, 2885460, 2415836, 2282832, 1712677,215927
G08, 1556278, 1263581, 1102699, 759664,185056
G09, 2305756, 1905388, 1602987, 1101611,281106
G10, 1822330, 1525036, 1370144, 982663,171834
G11, 622913, 495773, 422643, 295894,96783
G12, 764551, 622554, 550991, 397953,99392
H01, 13346607, 11204921, 10749189, 8053274,675092
H02, 10972936, 9185173, 8794035, 6629852,683627
H03, 3573380, 3018528, 2813632, 2081536,272754
H04, 152289, 128940, 117846, 82597,28252
H05, 3486435, 2862729, 2577928, 1798924,302268
H06, 2431679, 1846975, 1475431, 941003,327736
H07, 1379720, 1081107, 904671, 619518,171218
H08, 715392, 554845, 454087, 320018,137648
H09, 2475593, 2054132, 1897078, 1390889,194386
H10, 1348101, 1077228, 910725, 657473,153622
H11, 16176045, 13791233, 13313853, 10231317,1016006
H12, 1615896, 1325733, 1160290, 828542,195684
