8253,15,13,H10,3
30242,15,7,H09,1
22852,7,14,H10,3
16432,15,13,H10,1
23850,3,9,H10,1
56228,3,9,H10,1
1358,3,9,H08,1
34030,7,14,H10,1
18265,15,13,H10,1
14411,15,13,H10,4
6650,7,14,H10,2
22730,7,14,H10,23
57684,21,14,H10,3
15894,15,7,H09,1
58880,7,3,H06,4
2996,11,6,H10,1
54293,9,12,H07,1
26329,15,13,H10,1
2267,3,9,H10,1
52966,11,6,H10,2
28950,5,2,H10,1
27508,23,13,H10,1
64486,15,13,H10,7
58254,1,1,H08,4
50533,13,9,H01,2
64930,21,14,H10,1
31335,19,4,H01,2
31449,27,14,H10,1
59628,5,2,H10,1
18890,15,13,H10,2
56606,23,13,H10,1
37556,15,13,H10,2
898,15,13,H10,4
44208,3,9,H10,1
58595,19,10,H10,1
64839,15,13,H10,1
30374,15,13,H10,2
22625,13,9,H01,7
28018,5,2,H10,3
23110,11,10,H08,4
33657,16,9,H09,1
1572,5,2,H10,2
11795,23,13,H10,1
65200,15,7,H09,2
41136,21,14,H10,4
50395,1,1,H08,2
49608,15,13,H10,1
5782,21,14,H10,2
64332,3,9,H10,1
10928,2,7,H07,46
45904,7,14,H10,2
36544,3,9,H10,1
25295,11,10,H08,41
63593,5,2,H10,2
32308,3,8,H07,1
40321,3,9,H10,1
43938,15,7,H09,1
24952,9,13,H09,1
34266,13,13,H09,13
22371,23,13,H10,2
1204,11,10,H08,1
11990,15,13,H10,2
17186,15,13,H10,1
46613,13,13,H09,1
38924,3,9,H10,1
30186,5,5,H07,1
64317,19,10,H10,2
49963,15,13,H10,1
59708,21,14,H10,1
38656,5,2,H10,1
59144,21,14,H10,1
59538,5,5,H10,1
34013,9,13,H09,1
13718,7,14,H10,7
27534,7,14,H10,3
25524,15,13,H10,1
29664,3,5,H06,1
9574,15,4,H07,1
19475,23,13,H10,1
35815,15,7,G09,1
9140,5,2,H10,1
44358,5,2,H10,2
55194,3,9,H10,1
12810,7,14,H10,1
16248,27,14,H10,1
43838,3,9,H10,1
33102,23,13,H10,1
32409,15,13,H10,1
1765,15,13,H10,1
50335,11,8,H09,1
38766,21,14,H10,1
43203,15,13,H10,1
8254,5,2,H10,1
55449,5,5,H07,1
11266,15,13,H10,1
8518,15,13,H10,1
11774,5,2,H10,3
59649,14,7,H07,1
17762,3,9,H10,1
43200,21,14,H10,1
2647,3,9,H07,1
45132,5,9,H07,114
38794,11,10,H08,2
56454,15,13,H10,2
12848,3,9,H10,1
62768,3,9,H06,11
27467,15,13,H10,2
21868,13,9,H01,3
27568,9,13,H09,1
32545,7,14,H10,5
27744,21,14,H10,1
60275,19,4,H07,2
55650,5,5,H10,1
