97653,5,9,D10,1
91970,15,1,D10,1
98122,5,13,D10,1
82103,11,7,D10,1
69822,13,12,D10,22
80644,15,4,D10,1
108809,11,7,D08,1
110518,11,9,D10,1
89139,17,5,D10,1
67717,13,12,D10,22
93770,21,14,D10,1
104636,21,14,D10,1
82292,7,11,D08,6
92624,15,7,D10,1
112091,13,13,D10,1
108665,11,12,D10,1
112305,13,12,D10,1
120586,15,6,D10,1
120373,13,12,D10,13
99133,11,7,D08,25
71628,15,7,D10,2
98124,11,7,D10,1
101666,15,1,D09,6
67459,13,13,D10,1
101585,13,12,D10,26
101195,17,6,D10,1
78349,13,13,D10,1
110844,5,13,D10,1
83887,13,12,D10,179
88488,13,13,D10,2
95539,15,4,D10,1
101851,13,12,D10,5
76750,15,7,D10,1
119267,13,12,D10,3
102127,13,2,D10,1
103779,11,9,D10,1
115294,11,7,D10,1
95620,13,12,D10,29
6235,27,9,D10,1
86130,11,12,D10,1
68890,13,12,D10,8
67767,5,13,D10,4
68670,15,4,D10,2
80718,15,1,D10,3
101961,13,12,D10,21
97609,13,13,D10,1
101179,17,6,D08,2
66615,17,6,D10,1
69266,21,14,D08,3
69151,13,13,D10,1
107793,11,7,D10,1
113309,17,6,D10,1
85903,17,6,D08,1
68904,13,12,D10,77
102604,21,14,D08,2
76525,11,9,D10,1
116703,13,12,D10,2
83551,21,14,D08,1
110641,13,1,D03,7
102635,17,6,D10,1
94055,15,7,D10,1
102159,15,7,D10,1
95139,21,14,D08,2
102297,11,9,D10,1
105677,11,9,D10,1
70471,21,5,D07,2
86040,13,13,D10,1
111384,13,12,D10,326
95684,11,9,D10,1
121253,15,6,D10,2
104970,15,4,D10,1
111137,13,13,D10,2
87834,11,7,D10,1
66634,13,12,D10,45
97196,13,12,D10,43
104564,11,7,D10,1
66101,15,4,D10,1
99024,13,12,D10,5
84886,5,13,D10,1
91430,21,14,D10,1
119446,13,12,D10,12
98308,11,9,D10,2
102265,15,4,D08,4
113287,21,14,D08,1
70376,13,2,D10,1
114797,11,9,D10,1
104568,15,4,D10,2
88666,13,12,D10,75
92018,11,7,D10,1
111115,15,1,D09,2
96160,13,12,D10,7
119403,13,12,D10,48
105958,13,13,D10,2
89249,13,12,D10,49
112119,13,13,D10,1
115416,15,1,D10,1
88954,15,1,D09,13
115201,7,11,D10,1
100585,13,12,D10,52
113552,21,14,D08,1
78002,13,12,D10,52
83737,13,12,D10,1
83376,21,14,D08,1
92652,17,6,D10,3
121247,17,6,D10,3
121273,11,9,D10,1
110478,11,9,D10,2
104567,13,12,D10,4
107794,13,12,D10,124
119344,13,12,D10,3
