hg,1988,34,1
hg,46113,34,1
hg,53165,34,1
hg,23910,34,1
hg,23188,34,1
hg,47776,34,1
hg,64665,34,1
mm,100493,116,1
mm,65575,116,1
mm,104666,116,1
mm,112094,116,1
mm,87299,116,1
mm,99094,116,1
mm,71812,116,1
mm,104176,13,1
hg,27501,13,1
mm,68206,13,1
mm,90787,13,1
hg,50830,13,1
mm,116856,13,1
mm,109558,13,1
mm,66047,13,2
mm,72044,13,1
hg,31685,56,1
hg,54081,96,2
hg,57933,96,1
hg,12012,96,1
hg,28620,96,1
hg,54566,96,1
hg,22816,96,2
hg,24750,105,1
hg,43856,105,1
mm,75024,99,1
hg,12423,71,1
hg,10832,71,1
hg,50156,71,1
hg,39150,71,1
hg,27501,7,1
mm,121297,7,1
mm,67784,7,1
mm,111282,7,1
mm,82300,7,1
mm,74828,7,1
mm,103874,7,1
hg,61530,103,1
mm,66016,9,1
mm,119722,9,1
mm,111153,9,1
mm,110533,9,1
mm,114748,9,1
mm,107349,9,1
mm,109282,9,1
hg,1744,9,1
mm,88522,9,1
mm,103666,9,1
hg,43856,14,1
hg,13197,14,1
mm,81714,122,1
mm,68096,100,1
hg,38920,66,1
hg,64706,10,1
hg,15153,10,1
hg,36908,10,1
hg,24350,10,1
hg,56590,64,1
hg,48080,76,1
mm,83887,3,1
mm,111864,3,1
mm,106016,3,1
mm,88630,3,1
hg,44250,114,2
hg,14664,114,1
hg,4810,114,1
hg,45494,114,1
hg,19144,114,1
hg,63790,114,1
hg,15872,120,1
hg,56792,120,1
hg,55689,120,1
hg,65411,120,1
hg,40248,87,1
mm,71746,52,1
mm,78602,97,1
hg,26178,97,1
mm,78698,68,1
mm,73507,68,1
mm,108440,68,1
mm,91616,68,1
hg,22660,62,1
hg,898,37,1
mm,100865,4,1
mm,100808,113,1
hg,22963,113,1
hg,9000,115,1
mm,101934,2,1
mm,111328,84,1
mm,109868,29,1
mm,111719,29,1
mm,79894,29,1
mm,83536,29,1
mm,104886,29,1
hg,56624,23,1
mm,81460,117,1
hg,19576,118,1
hg,65417,46,1
hg,2844,46,1
hg,51634,32,1
hg,7028,25,1
