14290,1969,13,25,A09,1
3732,13846,4,30,E07,1
551,12966,5,21,E04,1
20404,7992,7,16,C09,1
32844,18323,5,17,H09,1
26286,354,7,16,A02,1
26418,5730,16,14,B12,1
10176,12261,9,12,E01,1
20194,1120,11,31,A05,1
15522,10768,12,22,D07,2
38964,5949,13,28,C01,1
36516,13070,3,30,E04,1
21140,9536,13,23,D03,2
43099,2910,13,23,B01,2
15196,11409,7,28,D10,2
44694,11018,10,10,D08,1
1646,11281,13,19,D09,1
44756,13525,13,21,E06,1
48776,5592,12,21,B11,1
28348,18584,9,10,H12,1
35234,8482,8,17,C11,1
53358,8147,10,13,C10,1
25736,12948,10,14,E04,3
12386,13143,10,10,E04,1
110,5816,7,20,B12,1
41438,4963,12,25,B09,1
36408,8131,7,17,C10,1
36644,12710,13,25,E03,1
32880,12060,12,16,D12,1
14254,8732,5,27,C12,2
31122,4647,13,21,B08,1
10956,11057,8,15,D08,1
3712,3061,11,11,B01,1
36614,3990,12,27,B05,2
28308,6183,14,25,C02,1
33654,9433,11,17,D02,1
5762,4647,13,21,B08,2
31959,14373,11,21,E09,1
37062,14262,6,17,E08,1
13150,5834,6,23,B12,1
24544,1698,7,12,A08,1
20196,11850,7,34,D11,1
25820,14813,7,17,E11,1
10062,9031,11,23,D01,1
12764,12962,8,22,E04,2
16172,9634,4,29,D03,3
23026,233,7,17,A02,1
5813,14832,13,25,E11,1
20922,7077,12,22,C05,1
46401,10115,15,25,D05,1
53220,6119,7,19,C02,1
43178,11058,12,23,D08,1
53736,9569,12,12,D03,1
48544,14483,11,22,E09,1
9256,9313,8,17,D02,1
16636,17165,12,22,G08,1
38734,13633,4,29,E06,1
16282,13343,9,24,E05,1
29406,14588,12,20,E10,1
25552,14755,12,22,E10,1
10568,5261,3,12,B10,1
42814,13594,10,12,E06,1
38052,3998,8,17,B05,3
13150,9634,4,29,D03,1
12730,9868,3,9,D04,1
13358,5609,12,23,B11,1
31959,7711,11,21,C08,1
21314,15168,3,30,E12,1
20922,5863,8,18,B12,11
35762,12023,9,35,D12,1
48162,15424,4,27,F02,1
20354,10950,11,24,D08,1
40878,8299,9,15,C10,1
49378,6862,13,21,C05,3
20452,6648,13,21,C04,3
21314,14349,14,25,E09,1
28348,15065,9,10,E12,12
15486,1310,7,16,A06,1
20922,11534,14,21,D10,1
38244,5320,11,31,B10,2
44952,14986,14,21,E11,1
54166,7272,12,36,C06,1
13514,9704,10,10,D03,2
28934,9434,6,20,D02,1
26154,7073,12,21,C05,1
31482,5392,13,21,B11,3
46401,15638,15,25,F04,1
20922,14256,12,22,E08,2
55684,13400,9,34,E05,1
44086,10336,9,29,D06,1
10128,10861,13,23,D08,3
48746,7396,7,18,C07,1
35233,6445,14,25,C03,3
46182,8292,4,18,C10,1
15486,11750,7,16,D11,2
18228,14308,5,21,E09,1
5762,13223,13,31,E05,1
40347,3010,13,26,B01,1
5796,14751,12,21,E10,1
38464,13248,9,17,E05,1
44998,7465,8,17,C07,1
21988,11839,12,21,D11,1
35234,5692,7,18,B12,20
54054,7083,6,17,C05,1
18610,167,14,9,A01,1
33070,13332,8,17,E05,1
29896,10663,8,17,D07,1
44756,13236,13,21,E05,1
551,7359,5,21,C07,1
17818,3277,7,20,B02,1
54218,12193,13,20,E01,1
55837,2313,11,22,A10,1
27264,6016,12,9,C01,1
2375,14755,12,22,E10,1
32725,11303,10,26,D09,1
28050,10647,10,12,D07,1
50082,14899,8,17,E11,1
35247,4941,5,17,B09,1
37994,13858,11,21,E07,1
46182,12325,4,18,E01,1
53220,13500,7,19,E06,1
13514,662,10,10,A03,2
17750,3244,12,9,B02,1
20468,17582,15,19,H01,1
53920,8822,9,15,C12,1
7630,10006,11,25,D04,1
42374,15247,11,31,E12,1
14958,5720,4,30,B12,1
55102,9728,13,24,D03,1
47152,2095,11,26,A09,1
39640,3445,3,15,B03,1
45224,3357,6,18,B02,1
54234,14832,13,25,E11,1
55048,10412,5,16,D06,1
19905,8770,8,21,C12,1
31443,4048,13,33,B05,1
32278,10095,4,27,D05,1
23022,9067,6,21,D01,1
551,6645,5,21,C04,1
6354,12749,6,16,E03,1
21314,13279,14,25,E05,1
20194,18461,11,31,H10,1
18270,5609,12,23,B11,1
30928,2393,7,23,A11,1
1248,10214,6,23,D05,2
35714,10483,5,33,D06,1
31122,5392,13,21,B11,1
44952,17258,14,21,G09,1
3294,12623,12,22,E02,1
551,8918,5,21,D01,1
20404,15184,7,16,E12,1
37072,2417,4,30,A11,1
38098,13608,8,17,E06,1
2506,15712,7,17,F05,1
27234,9664,11,19,D03,1
51038,4234,9,16,B06,1
10826,13011,5,17,E04,1
9197,2977,11,20,B01,1
36244,13121,3,29,E04,1
9182,13021,6,12,E04,1
28554,17110,6,16,G08,1
4952,10500,10,10,D06,1
1852,8944,5,28,D01,1
18270,7088,12,23,C05,1
31098,5632,7,19,B12,1
5918,11934,13,20,D12,1
3038,323,8,17,A02,10
28348,10053,9,10,D05,2
10826,3453,5,17,B03,1
1010,1948,13,21,A09,1
739,3294,5,33,B02,1
26284,16781,7,17,G05,1
10128,12717,13,23,E03,1
20922,10472,6,25,D06,1
29078,9276,6,16,D02,1
23430,11044,6,20,D08,1
20468,14951,15,19,E11,2
55837,4207,11,30,B06,2
33776,9795,13,21,D04,1
34708,9816,13,25,D04,1
40374,1886,13,24,A08,2
28036,5643,9,33,B12,1
45390,7058,11,31,C05,1
14204,377,11,26,A02,1
11391,8996,11,21,D01,1
31959,2946,11,21,B01,1
5762,2884,13,21,B01,5
42814,4254,8,17,B06,1
50582,957,7,17,A05,1
26062,13437,12,24,E05,1
6846,14832,13,25,E11,1
28544,14903,4,20,E11,1
38528,14812,13,21,E11,1
25758,844,8,20,A04,1
25620,1983,16,17,A09,1
12386,9973,10,10,D04,1
12942,15131,11,21,E12,1
9280,10780,12,23,D07,1
